,Fruit,Full filename,File
35596,Physalis with Husk,./data/fruits/fruits-360/Training/Physalis with Husk/r_104_100.jpg,r_104_100.jpg
4831,Apple Red Yellow 1,./data/fruits/fruits-360/Training/Apple Red Yellow 1/r_30_100.jpg,r_30_100.jpg
986,Apple Golden 2,./data/fruits/fruits-360/Training/Apple Golden 2/101_100.jpg,101_100.jpg
43039,Strawberry Wedge,./data/fruits/fruits-360/Training/Strawberry Wedge/214_100.jpg,214_100.jpg
11569,Cherry Rainier,./data/fruits/fruits-360/Training/Cherry Rainier/140_100.jpg,140_100.jpg
36470,Pineapple Mini,./data/fruits/fruits-360/Training/Pineapple Mini/24_100.jpg,24_100.jpg
20864,Guava,./data/fruits/fruits-360/Training/Guava/r_168_100.jpg,r_168_100.jpg
11197,Cherry 2,./data/fruits/fruits-360/Training/Cherry 2/r2_225_100.jpg,r2_225_100.jpg
16754,Grape Blue,./data/fruits/fruits-360/Training/Grape Blue/r_217_100.jpg,r_217_100.jpg
15700,Granadilla,./data/fruits/fruits-360/Training/Granadilla/135_100.jpg,135_100.jpg
41175,Raspberry,./data/fruits/fruits-360/Training/Raspberry/310_100.jpg,310_100.jpg
28855,Nectarine,./data/fruits/fruits-360/Training/Nectarine/r_264_100.jpg,r_264_100.jpg
29499,Papaya,./data/fruits/fruits-360/Training/Papaya/191_100.jpg,191_100.jpg
13896,Chestnut,./data/fruits/fruits-360/Training/Chestnut/78_100.jpg,78_100.jpg
44226,Tangelo,./data/fruits/fruits-360/Training/Tangelo/144_100.jpg,144_100.jpg
44769,Tomato 1,./data/fruits/fruits-360/Training/Tomato 1/179_100.jpg,179_100.jpg
14665,Clementine,./data/fruits/fruits-360/Training/Clementine/r_313_100.jpg,r_313_100.jpg
45995,Tomato 2,./data/fruits/fruits-360/Training/Tomato 2/r_279_100.jpg,r_279_100.jpg
30273,Passion Fruit,./data/fruits/fruits-360/Training/Passion Fruit/r_238_100.jpg,r_238_100.jpg
35815,Physalis with Husk,./data/fruits/fruits-360/Training/Physalis with Husk/r_7_100.jpg,r_7_100.jpg
5475,Apple Red Yellow 2,./data/fruits/fruits-360/Training/Apple Red Yellow 2/r_41_100.jpg,r_41_100.jpg
16504,Grape Blue,./data/fruits/fruits-360/Training/Grape Blue/489_100.jpg,489_100.jpg
16286,Grape Blue,./data/fruits/fruits-360/Training/Grape Blue/222_100.jpg,222_100.jpg
14441,Clementine,./data/fruits/fruits-360/Training/Clementine/50_100.jpg,50_100.jpg
20698,Guava,./data/fruits/fruits-360/Training/Guava/226_100.jpg,226_100.jpg
41923,Redcurrant,./data/fruits/fruits-360/Training/Redcurrant/r_324_100.jpg,r_324_100.jpg
34200,Pear Williams,./data/fruits/fruits-360/Training/Pear Williams/r_201_100.jpg,r_201_100.jpg
28025,Mulberry,./data/fruits/fruits-360/Training/Mulberry/228_100.jpg,228_100.jpg
23085,Kumquats,./data/fruits/fruits-360/Training/Kumquats/227_100.jpg,227_100.jpg
37469,Plum,./data/fruits/fruits-360/Training/Plum/242_100.jpg,242_100.jpg
12097,Cherry Rainier,./data/fruits/fruits-360/Training/Cherry Rainier/r_152_100.jpg,r_152_100.jpg
26666,Mangostan,./data/fruits/fruits-360/Training/Mangostan/r_49_100.jpg,r_49_100.jpg
3453,Apple Red 3,./data/fruits/fruits-360/Training/Apple Red 3/118_100.jpg,118_100.jpg
15289,Dates,./data/fruits/fruits-360/Training/Dates/225_100.jpg,225_100.jpg
42547,Strawberry,./data/fruits/fruits-360/Training/Strawberry/166_100.jpg,166_100.jpg
35740,Physalis with Husk,./data/fruits/fruits-360/Training/Physalis with Husk/r_271_100.jpg,r_271_100.jpg
11188,Cherry 2,./data/fruits/fruits-360/Training/Cherry 2/r2_217_100.jpg,r2_217_100.jpg
27668,Melon Piel de Sapo,./data/fruits/fruits-360/Training/Melon Piel de Sapo/r2_81_100.jpg,r2_81_100.jpg
12967,Cherry Wax Red,./data/fruits/fruits-360/Training/Cherry Wax Red/32_100.jpg,32_100.jpg
17937,Grape White,./data/fruits/fruits-360/Training/Grape White/r_182_100.jpg,r_182_100.jpg
45043,Tomato 1,./data/fruits/fruits-360/Training/Tomato 1/r2_206_100.jpg,r2_206_100.jpg
32388,Pear,./data/fruits/fruits-360/Training/Pear/r_136_100.jpg,r_136_100.jpg
42159,Salak,./data/fruits/fruits-360/Training/Salak/33_100.jpg,33_100.jpg
47140,Tomato 4,./data/fruits/fruits-360/Training/Tomato 4/r_162_100.jpg,r_162_100.jpg
41597,Redcurrant,./data/fruits/fruits-360/Training/Redcurrant/195_100.jpg,195_100.jpg
42287,Salak,./data/fruits/fruits-360/Training/Salak/r_195_100.jpg,r_195_100.jpg
9124,Cantaloupe 1,./data/fruits/fruits-360/Training/Cantaloupe 1/r_164_100.jpg,r_164_100.jpg
6277,Avocado,./data/fruits/fruits-360/Training/Avocado/r_17_100.jpg,r_17_100.jpg
20368,Grapefruit White,./data/fruits/fruits-360/Training/Grapefruit White/r_135_100.jpg,r_135_100.jpg
17456,Grape Pink,./data/fruits/fruits-360/Training/Grape Pink/r_147_100.jpg,r_147_100.jpg
22429,Kaki,./data/fruits/fruits-360/Training/Kaki/r_310_100.jpg,r_310_100.jpg
11276,Cherry 2,./data/fruits/fruits-360/Training/Cherry 2/r2_59_100.jpg,r2_59_100.jpg
20776,Guava,./data/fruits/fruits-360/Training/Guava/297_100.jpg,297_100.jpg
26372,Mango,./data/fruits/fruits-360/Training/Mango/r_57_100.jpg,r_57_100.jpg
28029,Mulberry,./data/fruits/fruits-360/Training/Mulberry/257_100.jpg,257_100.jpg
43734,Tamarillo,./data/fruits/fruits-360/Training/Tamarillo/128_100.jpg,128_100.jpg
7180,Banana,./data/fruits/fruits-360/Training/Banana/r_108_100.jpg,r_108_100.jpg
23312,Kumquats,./data/fruits/fruits-360/Training/Kumquats/r_213_100.jpg,r_213_100.jpg
46901,Tomato 4,./data/fruits/fruits-360/Training/Tomato 4/224_100.jpg,224_100.jpg
29814,Papaya,./data/fruits/fruits-360/Training/Papaya/r_253_100.jpg,r_253_100.jpg
48519,Walnut,./data/fruits/fruits-360/Training/Walnut/r2_239_100.jpg,r2_239_100.jpg
27737,Melon Piel de Sapo,./data/fruits/fruits-360/Training/Melon Piel de Sapo/r_200_100.jpg,r_200_100.jpg
37248,Pitahaya Red,./data/fruits/fruits-360/Training/Pitahaya Red/r_43_100.jpg,r_43_100.jpg
33327,Pear Kaiser,./data/fruits/fruits-360/Training/Pear Kaiser/r_38_100.jpg,r_38_100.jpg
45951,Tomato 2,./data/fruits/fruits-360/Training/Tomato 2/r_235_100.jpg,r_235_100.jpg
35115,Physalis,./data/fruits/fruits-360/Training/Physalis/r_113_100.jpg,r_113_100.jpg
19117,Grape White 3,./data/fruits/fruits-360/Training/Grape White 3/r_89_100.jpg,r_89_100.jpg
10664,Cherry 1,./data/fruits/fruits-360/Training/Cherry 1/r_189_100.jpg,r_189_100.jpg
18740,Grape White 3,./data/fruits/fruits-360/Training/Grape White 3/254_100.jpg,254_100.jpg
8957,Cantaloupe 1,./data/fruits/fruits-360/Training/Cantaloupe 1/253_100.jpg,253_100.jpg
38394,Plum 3,./data/fruits/fruits-360/Training/Plum 3/92_100.jpg,92_100.jpg
45596,Tomato 2,./data/fruits/fruits-360/Training/Tomato 2/95_100.jpg,95_100.jpg
4268,Apple Red Delicious,./data/fruits/fruits-360/Training/Apple Red Delicious/r_304_100.jpg,r_304_100.jpg
20887,Guava,./data/fruits/fruits-360/Training/Guava/r_18_100.jpg,r_18_100.jpg
14825,Cocos,./data/fruits/fruits-360/Training/Cocos/216_100.jpg,216_100.jpg
23036,Kumquats,./data/fruits/fruits-360/Training/Kumquats/182_100.jpg,182_100.jpg
22076,Kaki,./data/fruits/fruits-360/Training/Kaki/172_100.jpg,172_100.jpg
7731,Banana Lady Finger,./data/fruits/fruits-360/Training/Banana Lady Finger/r_113_100.jpg,r_113_100.jpg
10576,Cherry 1,./data/fruits/fruits-360/Training/Cherry 1/r_109_100.jpg,r_109_100.jpg
2787,Apple Red 1,./data/fruits/fruits-360/Training/Apple Red 1/r_183_100.jpg,r_183_100.jpg
20168,Grapefruit White,./data/fruits/fruits-360/Training/Grapefruit White/177_100.jpg,177_100.jpg
3884,Apple Red Delicious,./data/fruits/fruits-360/Training/Apple Red Delicious/121_100.jpg,121_100.jpg
15350,Dates,./data/fruits/fruits-360/Training/Dates/29_100.jpg,29_100.jpg
26204,Mango,./data/fruits/fruits-360/Training/Mango/r_138_100.jpg,r_138_100.jpg
14591,Clementine,./data/fruits/fruits-360/Training/Clementine/r_243_100.jpg,r_243_100.jpg
3297,Apple Red 2,./data/fruits/fruits-360/Training/Apple Red 2/r_19_100.jpg,r_19_100.jpg
33091,Pear Kaiser,./data/fruits/fruits-360/Training/Pear Kaiser/107_100.jpg,107_100.jpg
32342,Pear,./data/fruits/fruits-360/Training/Pear/316_100.jpg,316_100.jpg
2651,Apple Red 1,./data/fruits/fruits-360/Training/Apple Red 1/282_100.jpg,282_100.jpg
23317,Kumquats,./data/fruits/fruits-360/Training/Kumquats/r_218_100.jpg,r_218_100.jpg
