	Test Accuracy	Test Top-4 Accuracy	Training Accuracy	Training Top-4 Accuracy	Validation Accuracy	Validation Top-4 Accuracy	denseNodes	dropout1	dropout2	featureVectorString	outputshape	self
0	0.836666665871938	0.99	0.9644892590968873	0.9991231915826392	0.8669001764883719	0.9947460595446584	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EAC82D3C18>
1	0.8633333325386048	0.9833333333333333	0.9710653222270934	0.9995615957913196	0.8669001764883719	0.9894921201331812	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EAFEF265F8>
2	0.8633333325386048	0.9833333333333333	0.977202981148619	0.9995615957913196	0.8756567428700769	0.9929947471034088	128	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB03534278>
3	0.8533333325386048	0.9866666666666667	0.9807102148180622	1.0	0.8721541169437135	0.991243433618295	256	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB08ABEEB8>
4	0.8666666658719381	0.9866666666666667	0.9824638316527838	0.9995615957913196	0.8633975484742801	0.9894921183586121	256	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EAE7EC0588>
5	0.85	0.9866666666666667	0.9767645769660696	1.0	0.8686514889296216	0.9824868661927258	256	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB10EA4F98>
6	0.8566666658719381	0.9866666666666667	0.9846558526961858	1.0	0.8616462360330305	0.9859894931629535	512	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB14443C18>
7	0.8666666658719381	0.99	0.9785181938007912	1.0	0.8616462349891663	0.9929947460595446	512	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB1AA05898>
8	0.8466666658719381	0.9866666674613953	0.9855326611135466	1.0	0.8721541169437135	0.9929947460595446	512	0.25	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB1A87BB00>
9	0.8533333325386048	0.9933333333333333	0.9833406400962756	1.0	0.8756567428700769	0.9947460595446584	128	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB29561198>
10	0.8533333333333334	0.9933333333333333	0.9824638316527838	1.0	0.8651488619593939	0.9947460595446584	128	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB30AFDDD8>
11	0.8566666658719381	0.9866666666666667	0.9833406400701447	1.0	0.8651488630032581	0.9929947471034088	128	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB3809AA58>
12	0.8566666666666667	0.99	0.9881630863656291	0.9995615957913196	0.8598949225479166	0.991243433618295	256	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB3F6466D8>
13	0.85	0.9866666666666667	0.9868478737395879	1.0	0.8791593698403046	0.9929947460595446	256	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB46BE7358>
14	0.8533333325386048	0.99	0.9846558526961858	1.0	0.8598949225479166	0.9929947460595446	256	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB4E170F98>
15	0.8633333325386048	0.99	0.9850942569048663	1.0	0.8633975495181443	0.9929947460595446	512	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB55720C18>
16	0.8566666658719381	0.99	0.9877246821569488	1.0	0.8826619978543965	0.9947460595446584	512	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB59DC9B38>
17	0.8466666658719381	0.99	0.9868478737657188	1.0	0.8651488630032581	0.9912434325744308	512	0.25	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB632497B8>
18	0.8533333325386048	0.99	0.9881630863656291	1.0	0.8721541169437135	0.9964973730297724	128	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB6A815438>
19	0.8533333333333334	0.99	0.9912319158263919	1.0	0.8669001764883719	0.9929947460595446	128	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB71D9FE80>
20	0.8566666658719381	0.9900000007947286	0.9934239368697939	0.9995615957913196	0.8616462360330305	0.9929947460595446	128	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB7934FCF8>
21	0.8633333325386048	0.99	0.9925471284524331	1.0	0.8686514889296216	0.9894921201331812	256	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB808FC978>
22	0.8633333325386048	0.9866666666666667	0.9890398947829899	1.0	0.8791593698403046	0.9912434325744308	256	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB87EB65F8>
23	0.8433333333333334	0.99	0.9890398947829899	1.0	0.8686514889296216	0.9912434325744308	256	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB8F488278>
24	0.85	0.99	0.9859710653222271	0.9995615957913196	0.8704028024147354	0.9964973730297724	512	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB96A53EB8>
25	0.8666666674613953	0.99	0.9916703200350724	1.0	0.8686514889296216	0.9912434325744308	512	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EB9DFF2B38>
26	0.8533333333333334	0.9866666666666667	0.9894782989916703	1.0	0.8721541151691443	0.9929947460595446	512	0.5	0.5	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBA55AC7B8>
27	0.8600000007947286	0.99	0.9903551074090311	1.0	0.8756567428700769	0.9929947460595446	128	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBACB4C438>
28	0.84	0.9933333333333333	0.9934239368697939	1.0	0.8704028024147354	0.9877408066480673	128	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBB2E4DA58>
29	0.8499999992052714	0.99	0.9921087242437527	1.0	0.8774080563551908	0.9877408056042032	128	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBBA6BED30>
30	0.8500000007947286	0.9900000007947286	0.9886014905743095	1.0	0.8756567428700769	0.9912434325744308	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBC1C419B0>
31	0.8700000007947286	0.9933333333333333	0.9916703200350724	1.0	0.8686514899734857	0.9947460595446584	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBC91EB630>
32	0.8633333325386048	0.99	0.9921087242437527	1.0	0.8791593698403046	0.9947460595446584	256	0.5	0.75	https://tfhub.dev/google/imagenet/mobilenet_v2_075_128/feature_vector/2	9	<__main__.TransferLearningModel object at 0x000001EBD07BE2B0>
